run,trial,status,reason,score,metric_version,maximize,validation_rows,source_sha256
jubias-pair-004-analogy-1d27d282-3a8c-483b-a230-06143ca33405,trial0001,eligible,,0.9219654350264859,jubias-continuous-auc-v1,True,90244,ce336c0f89108c8a6d9904d6e3cb250c382f89e55924ce63e6c9d0f6b95bf72c
jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,trial0001,eligible,,0.9214640027818326,jubias-continuous-auc-v1,True,90244,b1b36c7437527c31d16cab10ca79c466ac853cdee2c0d8fc1fa584b028a7c0a6
jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,trial0002,eligible,,0.918439033490121,jubias-continuous-auc-v1,True,90244,98ab6135de18dd0ba68f1b9919adf36d0e3da445904add101af66d22047f9961
jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,trial0003,eligible,,0.9255356042534203,jubias-continuous-auc-v1,True,90244,faf1b7b0039357f500a5d4cff06e092489a358798025905950f4fd27882f928f
jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,trial0004,eligible,,0.92245217031264,jubias-continuous-auc-v1,True,90244,8f98658b88fff24027b0b8e081f90125591da0a67b2a7c3f53d6431b579dd66a
jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,trial0005,eligible,,0.9277349557377056,jubias-continuous-auc-v1,True,90244,7344601f29f39548bbfa0137c7f078353617542a8b146d8d05e480eb7cbce592
jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,trial0006,eligible,,0.9279466799771108,jubias-continuous-auc-v1,True,90244,9d2bd42ada1f43ce6e88c4621e4b8ef5853608a312e62cbc46fc2ae1ac95a764
jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,trial0007,eligible,,0.9300078115838777,jubias-continuous-auc-v1,True,90244,5046d1b3b8b2f70bba832f1dccee679a0f5694d5e2068350e7e5b08c6c7ca372
jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,trial0008,eligible,,0.9301635572935515,jubias-continuous-auc-v1,True,90244,43dac7d32aa6468028da2d18b0d5657ffc3dd48055a0a82452d9056e78116645
jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,trial0009,eligible,,0.929745491488245,jubias-continuous-auc-v1,True,90244,8e7605264b30c6b38a7db7a09f21ea3fbb55c1128d8dfac956136f4800118ed4
